user_id,age,last_month_salary,debt_ratio,using_lines_not_secured_personal_assets,total_loan,more_90_days_overdue,default_flag,age_risk,salary_risk,debt_ratio_risk,using_lines_risk,total_loan_risk,more_90_days_risk,risk_score,user_status
14373,53,7500,0.628716171,1.087690662,22,0,1,0,0,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""14373"",
    ""age"": ""53"",
    ""last_month_salary"": ""7500"",
    ""debt_ratio"": ""0.628716171"",
    ""using_lines_not_secured_personal_assets"": ""1.087690662"",
    ""total_loan"": ""22"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",14373 - cliente mau pagador
24295,42,2476,0.599111829,1.037584966,3,0,1,1,1,1,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""24295"",
    ""age"": ""42"",
    ""last_month_salary"": ""2476"",
    ""debt_ratio"": ""0.599111829"",
    ""using_lines_not_secured_personal_assets"": ""1.037584966"",
    ""total_loan"": ""3"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""5""
  }
}",24295 - cliente mau pagador
27502,46,4000,0.285428643,1.171016102,3,0,1,1,1,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""27502"",
    ""age"": ""46"",
    ""last_month_salary"": ""4000"",
    ""debt_ratio"": ""0.285428643"",
    ""using_lines_not_secured_personal_assets"": ""1.171016102"",
    ""total_loan"": ""3"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",27502 - cliente mau pagador
8262,40,1100,0.38328792,1.729693742,4,0,1,1,1,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""8262"",
    ""age"": ""40"",
    ""last_month_salary"": ""1100"",
    ""debt_ratio"": ""0.38328792"",
    ""using_lines_not_secured_personal_assets"": ""1.729693742"",
    ""total_loan"": ""4"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",8262 - cliente mau pagador
7847,33,2667,0.218890555,1.129368805,4,0,1,1,1,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""7847"",
    ""age"": ""33"",
    ""last_month_salary"": ""2667"",
    ""debt_ratio"": ""0.218890555"",
    ""using_lines_not_secured_personal_assets"": ""1.129368805"",
    ""total_loan"": ""4"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",7847 - cliente mau pagador
3225,41,11683,0.316843547,1.03150349,4,0,1,1,0,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""3225"",
    ""age"": ""41"",
    ""last_month_salary"": ""11683"",
    ""debt_ratio"": ""0.316843547"",
    ""using_lines_not_secured_personal_assets"": ""1.03150349"",
    ""total_loan"": ""4"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",3225 - cliente mau pagador
19602,39,1200,1.696086595,1.00614198,5,0,1,1,1,1,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""19602"",
    ""age"": ""39"",
    ""last_month_salary"": ""1200"",
    ""debt_ratio"": ""1.696086595"",
    ""using_lines_not_secured_personal_assets"": ""1.00614198"",
    ""total_loan"": ""5"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""5""
  }
}",19602 - cliente mau pagador
18703,51,6974,0.27125448,1.550898204,5,0,1,0,0,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""18703"",
    ""age"": ""51"",
    ""last_month_salary"": ""6974"",
    ""debt_ratio"": ""0.27125448"",
    ""using_lines_not_secured_personal_assets"": ""1.550898204"",
    ""total_loan"": ""5"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",18703 - cliente mau pagador
18883,42,4333,1.251961237,0.78863435,5,0,1,1,1,1,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""18883"",
    ""age"": ""42"",
    ""last_month_salary"": ""4333"",
    ""debt_ratio"": ""1.251961237"",
    ""using_lines_not_secured_personal_assets"": ""0.78863435"",
    ""total_loan"": ""5"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""5""
  }
}",18883 - cliente mau pagador
6803,60,2600,0.54248366,1.107956817,5,0,1,0,1,1,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""6803"",
    ""age"": ""60"",
    ""last_month_salary"": ""2600"",
    ""debt_ratio"": ""0.54248366"",
    ""using_lines_not_secured_personal_assets"": ""1.107956817"",
    ""total_loan"": ""5"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",6803 - cliente mau pagador
14996,34,5400,1085.0,1.002908738,6,0,1,1,0,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""14996"",
    ""age"": ""34"",
    ""last_month_salary"": ""5400"",
    ""debt_ratio"": ""1085.0"",
    ""using_lines_not_secured_personal_assets"": ""1.002908738"",
    ""total_loan"": ""6"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",14996 - cliente mau pagador
10391,26,2032,0.215937039,1.249405045,6,0,1,1,1,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""10391"",
    ""age"": ""26"",
    ""last_month_salary"": ""2032"",
    ""debt_ratio"": ""0.215937039"",
    ""using_lines_not_secured_personal_assets"": ""1.249405045"",
    ""total_loan"": ""6"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",10391 - cliente mau pagador
9280,28,5416,0.167989662,1.065593758,6,0,1,1,0,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""9280"",
    ""age"": ""28"",
    ""last_month_salary"": ""5416"",
    ""debt_ratio"": ""0.167989662"",
    ""using_lines_not_secured_personal_assets"": ""1.065593758"",
    ""total_loan"": ""6"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",9280 - cliente mau pagador
20248,25,2000,0.184407796,1.007098192,6,0,1,1,1,0,1,1,0,"{
  ""risk_score"": {
    ""user_id"": ""20248"",
    ""age"": ""25"",
    ""last_month_salary"": ""2000"",
    ""debt_ratio"": ""0.184407796"",
    ""using_lines_not_secured_personal_assets"": ""1.007098192"",
    ""total_loan"": ""6"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""1"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",20248 - cliente mau pagador
19886,28,4522,0.439531285,1.048790242,7,0,1,1,1,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""19886"",
    ""age"": ""28"",
    ""last_month_salary"": ""4522"",
    ""debt_ratio"": ""0.439531285"",
    ""using_lines_not_secured_personal_assets"": ""1.048790242"",
    ""total_loan"": ""7"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",19886 - cliente mau pagador
2589,38,1000,2.934065934,1.00179964,7,0,1,1,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""2589"",
    ""age"": ""38"",
    ""last_month_salary"": ""1000"",
    ""debt_ratio"": ""2.934065934"",
    ""using_lines_not_secured_personal_assets"": ""1.00179964"",
    ""total_loan"": ""7"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",2589 - cliente mau pagador
14923,59,1200,0.681931724,1.140183194,8,0,1,0,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""14923"",
    ""age"": ""59"",
    ""last_month_salary"": ""1200"",
    ""debt_ratio"": ""0.681931724"",
    ""using_lines_not_secured_personal_assets"": ""1.140183194"",
    ""total_loan"": ""8"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",14923 - cliente mau pagador
29939,30,6066,0.487225977,1.050794921,8,0,1,1,0,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""29939"",
    ""age"": ""30"",
    ""last_month_salary"": ""6066"",
    ""debt_ratio"": ""0.487225977"",
    ""using_lines_not_secured_personal_assets"": ""1.050794921"",
    ""total_loan"": ""8"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",29939 - cliente mau pagador
2079,48,2500,0.952419032,1.007608365,8,0,1,1,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""2079"",
    ""age"": ""48"",
    ""last_month_salary"": ""2500"",
    ""debt_ratio"": ""0.952419032"",
    ""using_lines_not_secured_personal_assets"": ""1.007608365"",
    ""total_loan"": ""8"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",2079 - cliente mau pagador
4834,53,4600,0.205824821,1.219939743,8,0,1,0,1,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""4834"",
    ""age"": ""53"",
    ""last_month_salary"": ""4600"",
    ""debt_ratio"": ""0.205824821"",
    ""using_lines_not_secured_personal_assets"": ""1.219939743"",
    ""total_loan"": ""8"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",4834 - cliente mau pagador
28692,55,5400,435.0,1.039989192,8,0,1,0,0,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""28692"",
    ""age"": ""55"",
    ""last_month_salary"": ""5400"",
    ""debt_ratio"": ""435.0"",
    ""using_lines_not_secured_personal_assets"": ""1.039989192"",
    ""total_loan"": ""8"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""1""
  }
}",28692 - cliente mau pagador
11816,30,6277,0.155304237,1.285543608,9,0,1,1,0,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""11816"",
    ""age"": ""30"",
    ""last_month_salary"": ""6277"",
    ""debt_ratio"": ""0.155304237"",
    ""using_lines_not_secured_personal_assets"": ""1.285543608"",
    ""total_loan"": ""9"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",11816 - cliente mau pagador
30638,38,11666,0.374303591,1.079904433,9,0,1,1,0,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""30638"",
    ""age"": ""38"",
    ""last_month_salary"": ""11666"",
    ""debt_ratio"": ""0.374303591"",
    ""using_lines_not_secured_personal_assets"": ""1.079904433"",
    ""total_loan"": ""9"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",30638 - cliente mau pagador
15091,53,5816,0.604779096,1.001451496,9,0,1,0,0,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""15091"",
    ""age"": ""53"",
    ""last_month_salary"": ""5816"",
    ""debt_ratio"": ""0.604779096"",
    ""using_lines_not_secured_personal_assets"": ""1.001451496"",
    ""total_loan"": ""9"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",15091 - cliente mau pagador
8343,55,6250,0.64693649,0.882109687,10,0,1,0,0,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""8343"",
    ""age"": ""55"",
    ""last_month_salary"": ""6250"",
    ""debt_ratio"": ""0.64693649"",
    ""using_lines_not_secured_personal_assets"": ""0.882109687"",
    ""total_loan"": ""10"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",8343 - cliente mau pagador
14006,39,2790,0.482622716,0.972352634,10,0,1,1,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""14006"",
    ""age"": ""39"",
    ""last_month_salary"": ""2790"",
    ""debt_ratio"": ""0.482622716"",
    ""using_lines_not_secured_personal_assets"": ""0.972352634"",
    ""total_loan"": ""10"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",14006 - cliente mau pagador
12216,27,5000,0.557888422,0.980390478,10,0,1,1,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""12216"",
    ""age"": ""27"",
    ""last_month_salary"": ""5000"",
    ""debt_ratio"": ""0.557888422"",
    ""using_lines_not_secured_personal_assets"": ""0.980390478"",
    ""total_loan"": ""10"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""4""
  }
}",12216 - cliente mau pagador
8413,51,4130,0.924715565,0.912781737,10,0,1,0,1,1,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""8413"",
    ""age"": ""51"",
    ""last_month_salary"": ""4130"",
    ""debt_ratio"": ""0.924715565"",
    ""using_lines_not_secured_personal_assets"": ""0.912781737"",
    ""total_loan"": ""10"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""1"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",8413 - cliente mau pagador
25074,77,5400,1260.0,1.091204682,10,0,1,0,0,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""25074"",
    ""age"": ""77"",
    ""last_month_salary"": ""5400"",
    ""debt_ratio"": ""1260.0"",
    ""using_lines_not_secured_personal_assets"": ""1.091204682"",
    ""total_loan"": ""10"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""0"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""1""
  }
}",25074 - cliente mau pagador
1866,42,4769,0.361006289,1.350970018,10,0,1,1,1,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""1866"",
    ""age"": ""42"",
    ""last_month_salary"": ""4769"",
    ""debt_ratio"": ""0.361006289"",
    ""using_lines_not_secured_personal_assets"": ""1.350970018"",
    ""total_loan"": ""10"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""1"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""3""
  }
}",1866 - cliente mau pagador
10917,48,5300,0.466515752,1.047439173,11,0,1,0,1,0,1,0,0,"{
  ""risk_score"": {
    ""user_id"": ""10917"",
    ""age"": ""48"",
    ""last_month_salary"": ""5300"",
    ""debt_ratio"": ""0.466515752"",
    ""using_lines_not_secured_personal_assets"": ""1.047439173"",
    ""total_loan"": ""11"",
    ""more_90_days_overdue"": ""0"",
    ""default_flag"": ""1"",
    ""age_risk"": ""0"",
    ""salary_risk"": ""1"",
    ""debt_ratio_risk"": ""0"",
    ""using_lines_risk"": ""1"",
    ""total_loan_risk"": ""0"",
    ""more_90_days_risk"": ""0"",
    ""risk_score"": ""2""
  }
}",10917 - cliente mau pagador
